Timestamp,Usage EXACT 29479,Gradient EXACT 29479,Temperature EXACT 29479,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29476,Gradient EXACT 29476,Temperature EXACT 29476
2025-11-11 15:57:44,1,0.27,40.50,0.000394,,0.0,1,0.12,28.21
2025-11-11 15:59:44,1,0.20,39.68,0.000454,0.000454,0.0,1,0.14,27.59
2025-11-11 16:01:44,1,0.13,37.82,0.000498,0.000498,0.0,1,0.10,27.06
2025-11-11 16:03:44,1,0.20,37.03,0.001116,0.001116,0.0,1,0.09,26.81
2025-11-11 16:05:44,1,0.19,37.37,0.001226,0.001226,0.0,1,0.09,27.01
2025-11-11 16:07:44,1,0.21,37.71,3.603799,3.603799,0.0,1,0.11,27.22
2025-11-11 16:09:44,1,0.28,38.48,3.603799,3.603799,0.0,1,0.18,27.53
2025-11-11 16:11:44,1,0.24,38.90,3.552968,3.552968,0.0,1,0.14,27.75
2025-11-11 16:13:44,1,0.20,39.14,3.520132,3.520132,0.0,1,0.10,27.75
2025-11-11 16:15:44,1,0.17,39.26,3.500554,3.500554,0.0,1,0.12,27.64
2025-11-11 16:17:44,1,0.14,39.00,3.500421,3.500421,0.0,1,0.09,27.69
2025-11-11 16:19:44,1,0.14,37.79,3.500421,3.500421,0.0,1,0.27,28.74
2025-11-11 16:21:44,1,0.11,35.96,0.137345,0.137345,3.358401,1,0.21,29.71
2025-11-11 16:23:44,1,0.07,35.38,0.035913,0.035913,0.0,1,0.24,30.93
2025-11-11 16:25:44,1,0.10,34.93,0.035891,0.035906,0.0,1,0.21,31.60
2025-11-11 16:27:44,1,0.13,34.56,0.035906,0.035906,0.0,1,0.26,32.05
2025-11-11 16:29:44,1,0.10,33.90,0.035957,0.035957,0.0,1,0.25,32.08
2025-11-11 16:31:44,1,0.11,32.75,0.036521,0.036521,0.0,1,0.21,31.87
2025-11-11 16:33:44,1,0.10,31.87,0.036559,0.036521,0.0,1,0.20,31.87
2025-11-11 16:35:44,1,0.12,31.60,0.036067,0.036067,0.0,1,0.25,32.36
2025-11-11 16:37:44,1,0.12,31.43,0.035746,0.036067,0.0,1,0.26,33.08
2025-11-11 16:39:44,1,0.10,31.43,0.036297,0.036297,0.0,1,0.31,34.09
2025-11-11 16:41:44,1,0.10,31.21,0.036474,0.036297,0.0,1,0.35,35.06
2025-11-11 16:43:44,1,0.10,31.00,0.036297,0.036297,0.0,1,0.39,36.19
2025-11-11 16:45:44,1,0.14,30.78,0.036203,0.036203,0.0,1,0.44,37.73
2025-11-11 16:47:44,1,0.16,30.78,0.036218,0.036218,0.0,1,0.58,39.80
2025-11-11 16:49:44,1,0.16,30.73,0.036218,0.036218,0.0,1,0.65,41.78
2025-11-11 16:51:44,1,0.08,30.74,0.035626,0.035626,0.0,1,0.62,43.24
2025-11-11 16:53:44,1,0.10,31.49,0.03515,0.03515,0.0,1,0.58,44.47
2025-11-11 16:55:44,1,0.11,32.20,0.034834,0.034834,0.0,1,0.52,44.60
2025-11-11 16:57:44,1,0.14,33.05,0.034834,0.034834,0.0,1,0.47,44.76
2025-11-11 16:59:44,1,0.17,33.41,0.034957,0.034957,0.0,1,0.42,44.67
2025-11-11 17:01:44,1,0.06,32.59,0.034957,0.034957,0.0,1,0.42,44.50
2025-11-11 17:03:44,1,0.05,29.82,0.034957,0.034957,0.0,1,0.38,44.21
2025-11-11 17:05:44,1,0.03,27.43,0.034998,0.034998,0.0,1,0.38,43.65
2025-11-11 17:07:44,1,0.00,25.51,0.034229,0.034229,0.0,1,0.36,42.73
2025-11-11 17:09:44,1,0.00,24.38,0.034008,0.034008,0.0,1,0.36,41.78
