Timestamp,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29280,Gradient EXACT 29280,Temperature EXACT 29280
2025-11-21 14:17:41,-0.000108,,0.0,1,0.58,56.39
2025-11-21 14:19:41,0.001186,0.001186,0.0,1,0.51,60.17
2025-11-21 14:21:41,2.494091,2.494091,0.0,1,0.52,62.00
2025-11-21 14:23:41,4.361967,4.361967,0.0,1,0.52,62.19
2025-11-21 14:25:41,4.361967,4.361967,0.0,1,0.52,61.81
2025-11-21 14:27:41,4.361341,4.361341,0.0,1,0.52,62.10
2025-11-21 14:29:41,4.360902,4.360902,0.0,1,0.44,63.73
2025-11-21 14:31:41,4.360515,4.360515,0.0,1,0.53,64.92
2025-11-21 14:33:41,4.360515,4.360515,0.0,1,0.53,63.83
2025-11-21 14:35:41,4.360515,4.360515,0.0,1,0.52,62.57
2025-11-21 14:37:41,4.359828,4.359828,0.0,1,0.48,61.35
2025-11-21 14:39:41,4.3598,4.3598,0.0,1,0.38,59.89
2025-11-21 14:41:41,4.359375,4.359375,0.0,1,0.41,58.92
2025-11-21 14:43:41,4.358481,4.358481,0.0,1,0.24,59.71
2025-11-21 14:45:41,4.358462,4.358481,0.0,1,0.21,61.35
2025-11-21 14:47:41,4.358515,4.358515,0.0,1,0.24,61.63
2025-11-21 14:49:41,4.358614,4.358614,0.0,1,0.16,58.85
2025-11-21 14:51:41,4.358871,4.358654,0.0,1,0.15,56.12
2025-11-21 14:53:41,4.358431,4.358431,0.0,1,0.29,54.97
2025-11-21 14:55:41,4.150164,4.150164,0.20770399999999967,1,0.45,55.70
2025-11-21 14:57:41,4.150164,4.150164,0.0,1,0.48,56.70
2025-11-21 14:59:41,4.150393,4.150393,0.0,1,0.48,57.96
2025-11-21 15:01:41,4.150925,4.150925,0.0,1,0.49,59.27
2025-11-21 15:03:41,4.151405,4.151405,0.0,1,0.67,60.98
2025-11-21 15:05:41,4.151556,4.151405,0.0,1,0.69,62.29
2025-11-21 15:07:41,4.151359,4.151359,0.0,1,0.73,64.52
