Timestamp,Usage EXACT 29466,Gradient EXACT 29466,Temperature EXACT 29466,Usage EXACT 29472,Gradient EXACT 29472,Temperature EXACT 29472
2025-11-20 12:03:39,0,-0.05,30.46,1,0.03,27.22
2025-11-20 12:05:39,0,0.00,30.56,1,-0.06,27.12
2025-11-20 12:07:39,0,-0.03,30.75,1,-0.07,27.12
2025-11-20 12:09:39,0,0.01,30.78,1,-0.07,27.12
2025-11-20 12:11:39,0,-0.03,30.91,1,0.02,27.12
2025-11-20 12:13:39,0,0.01,31.05,1,-0.06,27.01
2025-11-20 12:15:39,0,-0.03,30.96,1,0.02,26.96
2025-11-20 12:17:39,0,-0.03,31.01,1,-0.02,26.81
2025-11-20 12:19:39,0,-0.05,31.00,1,0.03,26.81
2025-11-20 12:21:39,0,0.00,30.89,1,0.00,26.78
2025-11-20 12:23:39,0,0.01,30.67,1,-0.01,26.81
2025-11-20 12:25:39,0,-0.06,30.33,1,0.03,26.96
2025-11-20 12:27:39,0,0.00,29.38,1,0.03,27.06
2025-11-20 12:29:39,0,0.01,28.48,1,0.03,27.27
2025-11-20 12:31:39,0,-0.03,27.88,1,0.05,27.59
2025-11-20 12:33:39,0,-0.00,27.32,1,0.08,28.06
2025-11-20 12:35:39,0,-0.00,26.91,1,0.11,27.62
2025-11-20 12:37:39,0,-0.03,26.57,1,0.13,27.27
2025-11-20 12:39:39,0,-0.00,26.34,1,0.13,27.22
2025-11-20 12:41:39,0,-0.00,26.03,1,0.13,27.27
2025-11-20 12:43:39,0,-0.00,25.82,1,0.17,27.59
2025-11-20 12:45:39,0,-0.00,25.61,1,0.23,28.06
2025-11-20 12:47:39,0,-0.00,25.46,1,0.19,28.44
2025-11-20 12:49:39,0,-0.00,25.41,1,0.24,28.91
2025-11-20 12:51:39,0,-0.00,25.30,1,0.24,29.33
2025-11-20 12:53:39,0,-0.01,25.35,1,0.24,29.76
2025-11-20 12:55:39,0,-0.01,25.35,1,0.24,30.08
2025-11-20 12:57:39,0,-0.04,25.27,1,0.24,30.46
2025-11-20 12:59:39,0,0.01,25.25,1,0.29,30.84
2025-11-20 13:01:39,0,0.02,25.25,1,0.25,31.16
2025-11-20 13:03:39,0,0.00,25.30,1,0.34,31.60
2025-11-20 13:05:39,0,-0.04,25.36,1,0.35,32.03
2025-11-20 13:07:39,0,-0.03,25.43,1,0.35,32.47
2025-11-20 13:09:39,0,-0.00,25.51,1,0.36,32.92
2025-11-20 13:11:39,0,-0.00,25.56,1,0.31,33.41
2025-11-20 13:13:39,0,-0.01,25.56,1,0.32,34.16
2025-11-20 13:15:39,0,-0.00,25.56,1,0.36,34.88
2025-11-20 13:17:39,0,-0.00,25.56,1,0.38,35.61
2025-11-20 13:19:39,0,-0.00,25.56,1,0.37,36.19
2025-11-20 13:21:39,0,-0.04,25.47,1,0.37,36.65
2025-11-20 13:23:39,0,-0.00,25.46,1,0.44,37.20
2025-11-20 13:25:39,0,-0.05,25.41,1,0.41,37.62
2025-11-20 13:27:39,0,-0.04,25.36,1,0.41,37.92
2025-11-20 13:29:39,0,-0.03,25.38,1,0.44,38.00
2025-11-20 13:31:39,0,-0.00,25.30,1,0.49,38.48
2025-11-20 13:33:39,0,-0.00,25.10,1,0.51,39.62
2025-11-20 13:35:39,0,-0.00,24.89,1,0.52,41.09
2025-11-20 13:37:39,0,-0.00,24.79,1,0.44,42.00
2025-11-20 13:39:39,0,-0.01,24.68,0,0.35,42.10
2025-11-20 13:41:39,0,-0.00,24.58,0,0.29,42.03
2025-11-20 13:43:39,0,-0.01,24.47,0,0.27,41.47
2025-11-20 13:45:39,0,-0.02,24.28,0,0.22,40.60
2025-11-20 13:47:39,0,-0.03,24.17,0,0.21,39.74
2025-11-20 13:49:39,0,-0.01,24.11,0,0.20,38.72
2025-11-20 13:51:39,0,-0.00,24.02,0,0.19,37.94
2025-11-20 13:53:39,0,-0.04,23.98,0,0.15,37.41
2025-11-20 13:55:39,0,-0.00,23.92,0,0.14,37.18
2025-11-20 13:57:39,0,-0.00,23.92,0,0.25,36.95
2025-11-20 13:59:39,0,-0.05,23.82,0,0.16,36.67
2025-11-20 14:01:39,0,-0.05,23.77,0,0.14,36.54
2025-11-20 14:03:39,0,-0.01,23.71,0,0.19,36.47
2025-11-20 14:05:39,0,-0.00,23.71,0,0.20,36.36
2025-11-20 14:07:39,0,-0.05,23.62,0,0.15,36.31
2025-11-20 14:09:39,0,-0.01,23.61,0,0.25,36.42
2025-11-20 14:11:39,0,-0.05,23.57,0,0.26,36.25
2025-11-20 14:13:39,0,-0.00,23.51,0,0.20,35.79
2025-11-20 14:15:39,0,-0.05,23.47,0,0.17,34.84
2025-11-20 14:17:39,0,-0.04,23.36,0,0.19,34.71
2025-11-20 14:19:39,0,-0.00,23.26,0,0.19,34.82
2025-11-20 14:21:39,0,-0.00,23.21,0,0.14,34.99
2025-11-20 14:23:39,0,-0.00,23.21,0,0.19,35.27
2025-11-20 14:25:39,0,-0.00,23.10,0,0.23,35.59
2025-11-20 14:27:39,0,-0.02,23.08,0,0.25,35.96
2025-11-20 14:29:39,0,-0.00,23.15,1,0.26,36.42
2025-11-20 14:31:39,0,-0.04,23.24,1,0.30,37.00
2025-11-20 14:33:39,0,-0.00,23.21,1,0.32,37.53
2025-11-20 14:35:39,0,-0.05,23.10,1,0.32,37.89
2025-11-20 14:37:39,0,-0.01,23.05,1,0.34,38.20
2025-11-20 14:39:39,0,-0.00,23.00,1,0.39,38.54
2025-11-20 14:41:39,0,-0.02,22.98,1,0.38,38.84
2025-11-20 14:43:39,0,-0.00,23.00,1,0.43,39.13
2025-11-20 14:45:39,0,-0.00,23.05,1,0.46,39.27
2025-11-20 14:47:39,0,0.01,23.41,1,0.50,39.62
2025-11-20 14:49:39,0,0.05,24.07,1,0.51,40.11
2025-11-20 14:51:39,0,0.14,25.20,1,0.52,40.78
2025-11-20 14:53:39,1,0.20,26.86,1,0.57,41.78
2025-11-20 14:55:39,1,0.26,29.01,1,0.60,42.98
2025-11-20 14:57:39,1,0.31,31.60,1,0.61,44.48
2025-11-20 14:59:39,1,0.32,33.99,1,0.70,46.08
2025-11-20 15:01:39,1,0.38,36.25,1,0.77,47.86
2025-11-20 15:03:39,1,0.36,38.10,1,0.87,49.64
2025-11-20 15:05:39,1,0.43,40.17,1,0.77,51.18
2025-11-20 15:07:39,1,0.42,42.03,1,0.85,52.54
2025-11-20 15:09:39,1,0.48,43.89,1,0.86,53.54
2025-11-20 15:11:39,1,0.45,45.15,1,0.71,54.17
2025-11-20 15:13:39,1,0.51,46.41,1,0.78,54.70
2025-11-20 15:15:39,1,0.49,47.51,0,0.58,54.09
2025-11-20 15:17:39,1,0.55,48.28,0,0.52,53.23
2025-11-20 15:19:39,1,0.52,49.15,0,0.48,52.54
2025-11-20 15:21:39,1,0.51,50.00,0,0.54,52.01
2025-11-20 15:23:39,1,0.46,50.29,0,0.54,51.10
2025-11-20 15:25:39,1,0.47,50.95,0,0.46,49.21
2025-11-20 15:27:39,1,0.69,53.31,0,0.39,47.86
2025-11-20 15:29:39,1,0.74,55.05,0,0.43,46.89
2025-11-20 15:31:39,1,0.77,56.68,0,0.43,46.76
2025-11-20 15:33:39,1,0.97,58.40,0,0.39,47.10
2025-11-20 15:35:39,1,1.04,60.71,0,0.35,47.04
2025-11-20 15:37:39,1,0.93,62.48,0,0.38,46.69
2025-11-20 15:39:39,1,0.70,63.05,0,0.30,46.07
