Timestamp,Usage EXACT 29548,Gradient EXACT 29548,Temperature EXACT 29548,Usage EXACT 29548,Gradient EXACT 29548,Temperature EXACT 29548
2025-11-20 15:50:58,1,0.81,63.34,1,0.81,63.34
2025-11-20 15:52:58,1,0.80,63.43,1,0.80,63.43
2025-11-20 15:54:58,1,0.82,64.52,1,0.82,64.52
2025-11-20 15:56:58,1,0.89,64.62,1,0.89,64.62
2025-11-20 15:58:58,1,0.76,64.42,1,0.76,64.42
2025-11-20 16:00:58,1,0.79,63.71,1,0.79,63.71
2025-11-20 16:02:58,1,0.80,63.63,1,0.80,63.63
2025-11-20 16:04:58,1,0.73,63.06,1,0.73,63.06
2025-11-20 16:06:58,1,0.79,62.49,1,0.79,62.49
2025-11-20 16:08:58,1,0.80,62.49,1,0.80,62.49
2025-11-20 16:10:58,1,0.84,63.44,1,0.84,63.44
2025-11-20 16:12:58,1,0.89,64.52,1,0.89,64.52
2025-11-20 16:14:58,1,0.99,64.52,1,0.99,64.52
2025-11-20 16:16:58,1,0.84,64.42,1,0.84,64.42
2025-11-20 16:18:58,1,0.81,64.12,1,0.81,64.12
2025-11-20 16:20:58,1,0.70,63.73,1,0.70,63.73
2025-11-20 16:22:58,1,0.62,63.05,1,0.62,63.05
2025-11-20 16:24:58,1,0.61,62.48,1,0.61,62.48
2025-11-20 16:26:58,1,0.44,61.36,1,0.44,61.36
2025-11-20 16:28:58,1,0.49,60.89,1,0.49,60.89
2025-11-20 16:30:58,1,0.54,60.08,1,0.54,60.08
2025-11-20 16:32:58,1,0.41,57.98,1,0.41,57.98
2025-11-20 16:34:58,1,0.37,56.11,1,0.37,56.11
2025-11-20 16:36:58,1,0.43,53.39,1,0.43,53.39
2025-11-20 16:38:58,1,0.42,52.23,1,0.42,52.23
2025-11-20 16:40:58,1,0.42,51.63,1,0.42,51.63
2025-11-20 16:42:58,1,0.48,51.32,1,0.48,51.32
2025-11-20 16:44:58,1,0.35,51.18,1,0.35,51.18
2025-11-20 16:46:58,1,0.35,51.93,1,0.35,51.93
2025-11-20 16:48:58,1,0.27,52.16,1,0.27,52.16
2025-11-20 16:50:58,1,0.35,52.16,1,0.35,52.16
2025-11-20 16:52:58,1,0.33,51.69,1,0.33,51.69
2025-11-20 16:54:58,1,0.34,52.77,1,0.34,52.77
2025-11-20 16:56:58,1,0.43,53.78,1,0.43,53.78
2025-11-20 16:58:58,1,0.36,53.54,1,0.36,53.54
2025-11-20 17:00:58,1,0.49,53.70,1,0.49,53.70
2025-11-20 17:02:58,1,0.51,54.09,1,0.51,54.09
2025-11-20 17:04:58,1,0.51,54.65,1,0.51,54.65
2025-11-20 17:06:58,1,0.44,54.65,1,0.44,54.65
2025-11-20 17:08:58,1,0.35,53.61,1,0.35,53.61
2025-11-20 17:10:58,1,0.30,52.17,1,0.30,52.17
2025-11-20 17:12:58,1,0.26,50.00,1,0.26,50.00
2025-11-20 17:14:58,1,0.32,48.92,1,0.32,48.92
2025-11-20 17:16:58,1,0.26,48.57,1,0.26,48.57
2025-11-20 17:18:58,1,0.26,47.86,1,0.26,47.86
2025-11-20 17:20:58,1,0.25,47.93,1,0.25,47.93
2025-11-20 17:22:58,1,0.32,49.20,1,0.32,49.20
2025-11-20 17:24:58,1,0.26,50.07,1,0.26,50.07
2025-11-20 17:26:58,1,0.13,51.03,1,0.13,51.03
2025-11-20 17:28:58,1,0.13,51.25,1,0.13,51.25
2025-11-20 17:30:58,1,0.05,51.47,1,0.05,51.47
2025-11-20 17:32:58,1,0.08,51.98,1,0.08,51.98
2025-11-20 17:34:58,1,0.26,54.17,1,0.26,54.17
2025-11-20 17:36:58,1,0.34,55.29,1,0.34,55.29
2025-11-20 17:38:58,1,0.22,55.46,1,0.22,55.46
2025-11-20 17:40:58,1,0.20,54.81,1,0.20,54.81
2025-11-20 17:42:58,1,0.27,54.89,1,0.27,54.89
2025-11-20 17:44:58,1,0.36,55.62,1,0.36,55.62
2025-11-20 17:46:58,1,0.30,56.03,1,0.30,56.03
2025-11-20 17:48:58,1,0.21,55.37,1,0.21,55.37
2025-11-20 17:50:58,1,0.20,54.49,1,0.20,54.49
2025-11-20 17:52:58,1,0.41,54.25,1,0.41,54.25
2025-11-20 17:54:58,1,0.59,56.20,1,0.59,56.20
2025-11-20 17:56:58,1,0.65,59.46,1,0.65,59.46
2025-11-20 17:58:58,1,0.61,62.76,1,0.61,62.76
2025-11-20 18:00:58,1,0.44,63.73,1,0.44,63.73
2025-11-20 18:02:58,1,0.42,63.15,1,0.42,63.15
2025-11-20 18:04:58,1,0.33,60.89,1,0.33,60.89
2025-11-20 18:06:58,1,0.31,59.36,1,0.31,59.36
2025-11-20 18:08:58,1,0.38,58.48,1,0.38,58.48
2025-11-20 18:10:58,1,0.34,57.82,1,0.34,57.82
2025-11-20 18:12:58,1,0.29,56.86,1,0.29,56.86
2025-11-20 18:14:58,1,0.36,55.86,1,0.36,55.86
2025-11-20 18:16:58,1,0.36,54.73,1,0.36,54.73
2025-11-20 18:18:58,1,0.35,53.31,1,0.35,53.31
2025-11-20 18:20:58,1,0.40,51.99,1,0.40,51.99
2025-11-20 18:22:58,1,0.35,51.85,1,0.35,51.85
2025-11-20 18:24:58,1,0.38,52.54,1,0.38,52.54
2025-11-20 18:26:58,1,0.56,53.86,1,0.56,53.86
2025-11-20 18:28:58,1,0.53,55.46,1,0.53,55.46
2025-11-20 18:30:58,1,0.44,54.88,1,0.44,54.88
2025-11-20 18:32:58,1,0.44,54.02,1,0.44,54.02
2025-11-20 18:34:58,1,0.40,51.62,1,0.40,51.62
2025-11-20 18:36:58,1,0.33,50.29,1,0.33,50.29
2025-11-20 18:38:58,1,0.42,49.60,1,0.42,49.60
2025-11-20 18:40:58,1,0.47,49.71,1,0.47,49.71
2025-11-20 18:42:58,1,0.41,50.29,1,0.41,50.29
2025-11-20 18:44:58,1,0.62,52.77,1,0.62,52.77
2025-11-20 18:46:58,1,0.74,55.05,1,0.74,55.05
2025-11-20 18:48:58,1,0.62,55.95,1,0.62,55.95
2025-11-20 18:50:58,1,0.70,56.78,1,0.70,56.78
2025-11-20 18:52:58,1,0.73,59.18,1,0.73,59.18
2025-11-20 18:54:58,1,0.70,61.36,1,0.70,61.36
2025-11-20 18:56:58,1,0.61,61.64,1,0.61,61.64
2025-11-20 18:58:58,1,0.73,64.16,1,0.73,64.16
2025-11-20 19:00:58,1,0.74,66.55,1,0.74,66.55
2025-11-20 19:02:58,1,0.67,66.87,1,0.67,66.87
2025-11-20 19:04:58,1,0.55,64.82,1,0.55,64.82
2025-11-20 19:06:58,1,0.61,63.44,1,0.61,63.44
