Timestamp,Weight (kg),w_smooth,consumption (kg),Weight (kg),w_smooth,consumption (kg)
2025-11-20 14:47:18,0.002013,,0,0.000928,,0.0
2025-11-20 14:48:18,0.002013,,0,0.680059,,0.0
2025-11-20 14:49:18,0.002013,0.002013,0,1.23488,1.23488,0.0
2025-11-20 14:50:18,0.006544,0.006544,0,1.23488,1.23488,0.0
2025-11-20 14:51:18,0.006838,0.006838,0,1.235157,1.23488,0.0
2025-11-20 14:52:18,0.007096,0.006838,0,1.23488,1.23488,0.0
2025-11-20 14:53:18,0.006838,0.007096,0,1.234858,1.23488,0.0
2025-11-20 14:54:18,0.007096,0.007096,0,1.234858,1.234858,0.0
2025-11-20 14:55:18,0.007096,0.007042,0,1.235157,1.234858,0.0
2025-11-20 14:56:18,0.007042,0.007042,0,1.234833,1.234858,0.0
2025-11-20 14:57:18,0.006018,0.006704,0,1.234833,1.234833,0.0
2025-11-20 14:58:18,0.006704,0.006704,0,1.235167,1.234833,0.0
2025-11-20 14:59:18,0.006704,0.006704,0,1.234833,1.234833,0.0
2025-11-20 15:00:18,0.006704,0.006704,0,1.234833,1.235167,0.0
2025-11-20 15:01:18,0.006704,0.006704,0,1.235257,1.235257,0.0
2025-11-20 15:02:18,0.006704,0.006704,0,1.235257,1.235257,0.0
2025-11-20 15:03:18,0.00635,0.00635,0,1.235257,1.235257,0.0
2025-11-20 15:04:18,0.00635,0.00635,0,1.235316,1.235316,0.0
2025-11-20 15:05:18,0.00635,0.00635,0,1.235562,1.235316,0.0
2025-11-20 15:06:18,0.006359,0.006359,0,1.235316,1.235316,0.0
2025-11-20 15:07:18,0.007052,0.006966,0,1.235316,1.235316,0.0
2025-11-20 15:08:18,0.007052,0.006994,0,1.234385,1.234385,0.0
2025-11-20 15:09:18,0.006966,0.006994,0,1.234273,1.234273,0.0
2025-11-20 15:10:18,0.006994,0.006966,0,1.234204,1.234204,0.0
2025-11-20 15:11:18,0.006966,0.006966,0,1.233326,1.233326,0.0
2025-11-20 15:12:18,0.006966,0.006966,0,1.233326,1.233326,0.0
2025-11-20 15:13:18,0.006966,0.006966,0,1.233018,1.233018,0.0
2025-11-20 15:14:18,0.00649,0.006723,0,1.232389,1.233018,0.0
2025-11-20 15:15:18,0.00649,0.006723,0,1.233018,1.233018,0.0
2025-11-20 15:16:18,0.006723,0.006723,0,1.23327,1.233018,0.0
2025-11-20 15:17:18,0.006723,0.006723,0,1.232834,1.23327,0.0
2025-11-20 15:18:18,0.006723,0.006723,0,1.23327,1.23327,0.0
2025-11-20 15:19:18,0.006822,0.006822,0,1.233768,1.23327,0.0
