Timestamp,Usage EXACT 29529,Gradient EXACT 29529,Temperature EXACT 29529,Usage EXACT 29535,Gradient EXACT 29535,Temperature EXACT 29535
2025-11-21 14:02:30,0,0.02,30.41,0,0.01,29.13
2025-11-21 14:20:30,0,0.02,30.35,0,0.00,28.59
2025-11-21 14:38:30,0,0.02,30.30,0,0.00,28.80
2025-11-21 14:56:30,0,-0.02,30.30,0,0.11,29.12
2025-11-21 15:14:30,0,-0.00,30.39,0,0.00,29.12
2025-11-21 15:32:30,0,0.01,30.41,0,0.00,29.12
2025-11-21 15:50:30,0,0.00,30.49,0,0.10,28.70
2025-11-21 16:08:30,0,-0.03,30.41,0,0.00,28.49
2025-11-21 16:26:30,0,-0.02,30.30,0,0.00,28.27
2025-11-21 16:44:30,0,0.02,30.19,0,0.00,28.17
2025-11-21 17:02:30,0,-0.03,30.12,0,0.10,28.06
2025-11-21 17:20:30,0,-0.03,30.08,0,0.01,27.85
2025-11-21 17:38:30,0,0.01,30.08,0,0.00,27.64
2025-11-21 17:56:30,0,0.02,30.08,0,0.00,27.43
2025-11-21 18:14:30,0,0.01,30.07,0,0.00,27.12
2025-11-21 18:32:30,0,0.02,29.98,0,0.00,26.81
2025-11-21 18:50:30,0,0.02,29.87,0,0.01,26.49
2025-11-21 19:08:30,0,-0.07,29.76,0,0.09,26.60
2025-11-21 19:26:30,0,0.00,29.86,0,0.00,26.81
2025-11-21 19:44:30,0,0.01,29.86,0,0.00,27.12
2025-11-21 20:02:30,0,0.02,29.86,0,-0.01,26.89
2025-11-21 20:20:30,0,0.02,29.87,0,0.05,26.54
2025-11-21 20:38:30,0,0.02,29.87,0,0.00,26.29
2025-11-21 20:56:30,0,0.02,29.98,0,0.00,26.08
2025-11-21 21:14:30,0,0.02,29.98,0,0.08,25.96
2025-11-21 21:32:30,0,-0.03,30.03,0,0.00,25.77
2025-11-21 21:50:30,0,0.02,30.08,0,0.00,25.56
2025-11-21 22:08:30,0,0.02,30.08,0,0.00,25.36
2025-11-21 22:26:30,0,0.02,30.08,0,0.00,25.25
2025-11-21 22:44:30,0,-0.03,30.09,0,0.00,25.05
2025-11-21 23:02:30,0,0.01,30.19,0,0.00,24.84
2025-11-21 23:20:30,0,-0.03,30.19,0,0.04,24.68
2025-11-21 23:38:30,0,0.01,30.29,0,0.00,24.53
2025-11-21 23:56:30,0,0.02,30.30,0,0.00,24.43
2025-11-22 00:14:30,0,0.02,30.30,0,0.03,24.05
2025-11-22 00:32:30,0,0.02,30.30,0,0.07,23.99
2025-11-22 00:50:30,0,-0.03,30.24,0,0.08,23.90
2025-11-22 01:08:30,0,0.02,30.19,0,0.00,23.71
2025-11-22 01:26:30,0,0.02,30.19,0,0.00,23.61
2025-11-22 01:44:30,0,0.02,30.19,0,0.03,23.51
2025-11-22 02:02:30,0,0.02,30.19,0,0.00,23.31
2025-11-22 02:20:30,0,-0.03,30.19,0,0.00,23.21
2025-11-22 02:38:30,0,-0.00,30.28,0,0.00,23.10
2025-11-22 02:56:30,0,0.02,30.30,0,0.05,23.00
2025-11-22 03:14:30,0,0.00,30.28,0,0.10,22.90
2025-11-22 03:32:30,0,-0.05,30.21,0,0.09,22.80
2025-11-22 03:50:30,0,0.00,30.19,0,0.13,22.70
2025-11-22 04:08:30,0,0.02,30.19,0,0.15,22.60
2025-11-22 04:26:30,0,0.02,30.19,0,0.16,22.48
2025-11-22 04:44:30,0,0.02,30.19,0,0.10,22.29
2025-11-22 05:02:30,0,0.00,30.19,0,0.10,22.19
2025-11-22 05:20:30,0,0.01,30.19,0,0.10,22.09
2025-11-22 05:38:30,0,0.01,30.13,0,0.10,21.99
2025-11-22 05:56:30,0,0.01,30.08,0,0.14,22.04
2025-11-22 06:14:30,0,-0.01,29.98,0,0.13,22.22
2025-11-22 06:32:30,0,-0.00,29.87,0,0.11,22.55
2025-11-22 06:50:30,0,-0.00,29.76,0,0.10,23.00
2025-11-22 07:08:30,0,-0.00,29.65,0,0.10,23.21
2025-11-22 07:26:30,0,-0.00,29.55,0,0.10,23.41
2025-11-22 07:44:30,0,-0.05,29.49,0,0.14,23.60
2025-11-22 08:02:30,0,-0.00,29.44,0,0.15,24.07
2025-11-22 08:20:30,0,-0.00,29.44,0,0.14,24.83
2025-11-22 08:38:30,0,-0.00,29.44,0,0.10,25.61
2025-11-22 08:56:30,0,-0.00,29.44,0,0.11,26.50
2025-11-22 09:14:30,0,-0.00,29.44,0,0.10,26.91
2025-11-22 09:32:30,0,-0.00,29.44,0,0.10,27.12
2025-11-22 09:50:30,0,-0.05,29.33,0,0.10,27.43
2025-11-22 10:08:30,0,-0.00,29.33,0,0.10,27.75
2025-11-22 10:26:30,0,-0.00,29.33,0,0.10,28.06
2025-11-22 10:44:30,0,-0.01,29.27,0,0.12,28.32
2025-11-22 11:02:30,0,-0.00,29.23,0,0.10,28.70
2025-11-22 11:20:30,0,-0.04,29.14,0,0.15,28.91
2025-11-22 11:38:30,0,-0.00,29.12,0,0.15,29.23
2025-11-22 11:56:30,0,-0.00,29.12,0,0.10,29.23
2025-11-22 12:14:30,0,-0.00,29.02,0,0.10,29.44
2025-11-22 12:32:30,0,-0.03,28.93,0,0.10,29.44
2025-11-22 12:50:30,0,-0.00,28.91,0,0.10,29.76
2025-11-22 13:08:30,0,-0.00,28.91,0,0.15,30.19
2025-11-22 13:26:30,0,-0.00,28.91,0,0.10,30.41
2025-11-22 13:44:30,0,-0.00,28.91,0,0.10,30.62
2025-11-22 14:02:30,0,-0.00,28.91,0,0.10,30.62
2025-11-22 14:20:30,0,-0.00,28.91,0,0.20,30.62
2025-11-22 14:38:30,0,-0.00,28.91,0,0.10,30.67
2025-11-22 14:56:30,0,-0.00,28.91,0,0.00,30.51
2025-11-22 15:14:30,0,-0.00,28.91,0,0.03,30.51
2025-11-22 15:32:30,0,-0.00,28.91,0,0.00,30.19
2025-11-22 15:50:30,0,0.02,28.82,0,0.04,29.91
2025-11-22 16:08:30,0,0.00,28.80,0,0.00,29.65
2025-11-22 16:26:30,0,0.00,28.70,0,0.05,29.17
2025-11-22 16:44:30,0,-0.04,28.64,0,0.00,29.02
2025-11-22 17:02:30,0,-0.00,28.59,0,0.00,28.80
2025-11-22 17:20:30,0,-0.00,28.59,0,0.00,28.70
2025-11-22 17:38:30,0,-0.00,28.59,0,0.00,28.54
2025-11-22 17:56:30,0,-0.00,28.59,0,0.01,28.17
2025-11-22 18:14:30,0,-0.00,28.59,0,0.00,27.85
2025-11-22 18:32:30,0,-0.01,28.58,0,0.00,27.54
2025-11-22 18:50:30,0,-0.04,28.49,0,0.06,27.43
2025-11-22 19:08:30,0,-0.00,28.49,0,0.00,27.22
2025-11-22 19:26:30,0,-0.00,28.49,0,0.02,27.04
2025-11-22 19:44:30,0,-0.00,28.49,0,0.04,26.95
2025-11-22 20:02:30,0,-0.00,28.49,0,0.00,27.01
2025-11-22 20:20:30,0,-0.00,28.43,0,0.00,27.12
2025-11-22 20:38:30,0,-0.00,28.38,0,0.00,27.12
2025-11-22 20:56:30,0,-0.00,28.38,0,0.00,27.12
2025-11-22 21:14:30,0,-0.00,28.38,0,0.00,27.01
2025-11-22 21:32:30,0,-0.00,28.38,0,0.00,27.01
2025-11-22 21:50:30,0,-0.00,28.38,0,0.00,26.91
2025-11-22 22:08:30,0,-0.05,28.32,0,0.09,26.81
2025-11-22 22:26:30,0,-0.00,28.27,0,-0.00,26.60
2025-11-22 22:44:30,0,-0.00,28.27,0,0.00,26.39
2025-11-22 23:02:30,0,-0.01,28.26,0,0.00,26.29
2025-11-22 23:20:30,0,-0.05,28.17,0,0.02,26.09
2025-11-22 23:38:30,0,-0.00,28.17,0,0.00,25.98
2025-11-22 23:56:30,0,-0.00,28.16,0,0.00,25.87
2025-11-23 00:14:30,0,-0.00,28.06,0,0.05,25.56
2025-11-23 00:32:30,0,-0.00,28.06,0,0.00,25.46
2025-11-23 00:50:30,0,-0.00,28.06,0,0.00,25.36
2025-11-23 01:08:30,0,-0.00,27.96,0,0.00,25.25
2025-11-23 01:26:30,0,-0.00,27.96,0,0.00,25.15
2025-11-23 01:44:30,0,-0.05,27.90,0,0.00,25.05
2025-11-23 02:02:30,0,-0.04,27.85,0,0.00,24.94
2025-11-23 02:20:30,0,-0.00,27.85,0,0.01,24.85
2025-11-23 02:38:30,0,-0.00,27.85,0,0.00,24.74
2025-11-23 02:56:30,0,-0.00,27.85,0,0.00,24.64
2025-11-23 03:14:30,0,-0.04,27.80,0,0.00,24.53
2025-11-23 03:32:30,0,-0.00,27.75,0,0.00,24.43
2025-11-23 03:50:30,0,-0.00,27.75,0,0.02,24.33
2025-11-23 04:08:30,0,-0.01,27.74,0,0.00,24.23
2025-11-23 04:26:30,0,-0.05,27.64,0,0.00,24.12
2025-11-23 04:44:30,0,-0.00,27.64,0,0.00,24.02
2025-11-23 05:02:30,0,-0.00,27.54,0,0.00,23.92
2025-11-23 05:20:30,0,-0.00,27.54,0,0.00,23.82
2025-11-23 05:38:30,0,-0.00,27.43,0,0.00,23.71
2025-11-23 05:56:30,0,-0.01,27.41,0,0.05,23.76
2025-11-23 06:14:30,0,-0.00,27.33,0,0.00,23.92
2025-11-23 06:32:30,0,-0.00,27.27,0,0.00,24.23
2025-11-23 06:50:30,0,-0.00,27.22,0,0.00,24.43
