Timestamp,Usage EXACT 29283,Gradient EXACT 29283,Temperature EXACT 29283,Weight (kg),w_smooth,consumption (kg)
2025-11-14 16:35:08,0,-0.05,23.87,0.000457,,0.0
2025-11-14 16:37:08,0,-0.05,23.41,0.00046,0.00046,0.0
2025-11-14 16:39:08,0,-0.01,23.26,4.364125,4.364125,0.0
2025-11-14 16:41:08,0,-0.01,23.15,4.364705,4.3645,0.0
2025-11-14 16:43:08,0,-0.01,23.00,4.3645,4.3645,0.0
2025-11-14 16:45:08,0,-0.00,23.37,4.363016,4.363016,0.0
2025-11-14 16:47:08,0,-0.00,23.71,4.359634,4.359634,0.0
2025-11-14 16:49:08,0,-0.00,24.07,4.359336,4.359336,0.0
2025-11-14 16:51:08,0,-0.00,24.38,4.358656,4.358656,0.0
2025-11-14 16:53:08,0,-0.00,24.58,4.357476,4.357476,0.0
2025-11-14 16:55:08,0,-0.00,24.79,4.356905,4.356905,0.0
2025-11-14 16:57:08,0,-0.00,24.99,4.356102,4.356525,0.0
2025-11-14 16:59:08,0,-0.00,25.17,4.356525,4.356525,0.0
2025-11-14 17:01:08,0,-0.00,25.30,4.357288,4.357288,0.0
2025-11-14 17:03:08,0,-0.00,25.41,4.357656,4.357656,0.0
2025-11-14 17:05:08,0,0.01,25.47,4.357681,4.357656,0.0
2025-11-14 17:07:08,0,0.00,25.56,4.357656,4.357656,0.0
2025-11-14 17:09:08,0,0.00,25.63,4.35773,4.357656,0.0
2025-11-14 17:11:08,0,0.00,25.66,4.35773,4.357255,0.0
2025-11-14 17:13:08,0,0.00,25.72,4.357255,4.357255,0.0
2025-11-14 17:15:08,0,0.00,25.77,4.356341,4.356341,0.0
2025-11-14 17:17:08,0,0.00,25.77,4.356341,4.356341,0.0
2025-11-14 17:19:08,0,0.01,25.78,4.357681,4.357681,0.0
2025-11-14 17:21:08,0,0.00,25.87,4.357681,4.357681,0.0
2025-11-14 17:23:08,0,0.00,25.87,4.356779,4.356779,0.0
2025-11-14 17:25:08,0,0.00,25.87,4.356779,4.356779,0.0
2025-11-14 17:27:08,0,0.00,25.87,4.356779,4.356779,0.0
2025-11-14 17:29:08,0,0.00,25.87,4.356424,4.356424,0.0
2025-11-14 17:31:08,0,0.00,25.87,4.355556,4.355556,0.0
2025-11-14 17:33:08,0,0.00,25.87,4.355556,4.355556,0.0
2025-11-14 17:35:08,0,0.00,25.87,4.355856,4.355856,0.0
2025-11-14 17:37:08,0,0.00,25.87,4.356896,4.355856,0.0
2025-11-14 17:39:08,0,0.02,25.80,4.355654,4.35575,0.0
2025-11-14 17:41:08,0,0.00,25.77,4.356896,4.35575,0.0
2025-11-14 17:43:08,0,0.00,25.77,4.357025,4.356896,0.0
2025-11-14 17:45:08,0,0.00,25.66,4.359149,4.359149,0.0
2025-11-14 17:47:08,0,-0.01,25.58,4.360719,4.360719,0.0
2025-11-14 17:49:08,0,-0.00,25.56,4.364107,4.364107,0.0
2025-11-14 17:51:08,0,-0.00,25.55,4.363144,4.363144,0.0
2025-11-14 17:53:08,0,-0.00,25.46,4.362381,4.362718,0.0
2025-11-14 17:55:08,0,-0.00,25.46,4.362718,4.36265,0.0
2025-11-14 17:57:08,0,-0.00,25.46,4.362381,4.362381,0.0
2025-11-14 17:59:08,0,-0.00,25.36,4.361992,4.361992,0.0
2025-11-14 18:01:08,0,-0.00,25.36,4.361992,4.361161,0.0
2025-11-14 18:03:08,0,-0.00,25.36,4.360805,4.361161,0.0
2025-11-14 18:05:08,0,-0.00,25.36,4.362743,4.361283,0.0
2025-11-14 18:07:08,0,-0.00,25.36,4.361415,4.361663,0.0
2025-11-14 18:09:08,0,-0.00,25.36,4.361663,4.361553,0.0
2025-11-14 18:11:08,0,-0.00,25.36,4.361553,4.361663,0.0
2025-11-14 18:13:08,0,-0.00,25.46,4.361663,4.361663,0.0
2025-11-14 18:15:08,0,-0.00,25.46,4.362522,4.362522,0.0
2025-11-14 18:17:08,0,-0.00,25.46,4.363905,4.363905,0.0
2025-11-14 18:19:08,0,-0.00,25.46,4.364466,4.364466,0.0
2025-11-14 18:21:08,0,-0.00,25.46,4.364729,4.364729,0.0
2025-11-14 18:23:08,0,-0.00,25.46,4.36495,4.36495,0.0
2025-11-14 18:25:08,0,-0.00,25.46,4.364729,4.36495,0.0
2025-11-14 18:27:08,0,-0.00,25.46,4.365389,4.36495,0.0
2025-11-14 18:29:08,0,-0.00,25.46,4.365299,4.365299,0.0
2025-11-14 18:31:08,0,-0.01,25.40,4.365299,4.365299,0.0
2025-11-14 18:33:08,0,-0.01,25.36,4.365299,4.365299,0.0
2025-11-14 18:35:08,0,-0.00,25.36,4.365376,4.365376,0.0
2025-11-14 18:37:08,0,-0.00,25.36,4.365597,4.365597,0.0
2025-11-14 18:39:08,0,-0.00,25.36,4.366949,4.366851,0.0
2025-11-14 18:41:08,0,-0.00,25.36,4.366851,4.366949,0.0
2025-11-14 18:43:08,0,-0.00,25.36,4.367182,4.366851,0.0
2025-11-14 18:45:08,0,-0.00,25.36,4.366805,4.366805,0.0
2025-11-14 18:47:08,0,-0.00,25.36,4.366581,4.366581,0.0
2025-11-14 18:49:08,0,-0.00,25.36,4.366581,4.366581,0.0
2025-11-14 18:51:08,0,-0.00,25.36,4.367072,4.367072,0.0
2025-11-14 18:53:08,0,-0.00,25.36,4.366777,4.366777,0.0
2025-11-14 18:55:08,0,-0.00,25.31,4.36641,4.36641,0.0
2025-11-14 18:57:08,0,-0.00,25.25,4.36641,4.36641,0.0
2025-11-14 18:59:08,0,-0.00,25.36,4.366048,4.366048,0.0
2025-11-14 19:01:08,0,-0.00,25.36,4.366048,4.366048,0.0
2025-11-14 19:03:08,0,-0.00,25.25,3.767341,3.767341,0.03552499999999981
2025-11-14 19:05:08,0,-0.01,25.19,3.76609,3.76609,0.0
2025-11-14 19:07:08,0,-0.04,25.10,3.76609,3.76609,0.0
2025-11-14 19:09:08,0,-0.03,24.99,3.76594,3.76594,0.0
2025-11-14 19:11:08,0,-0.00,24.84,3.76594,3.76594,0.0
2025-11-14 19:13:08,0,-0.00,23.97,3.766476,3.766212,0.0
2025-11-14 19:15:08,0,-0.00,22.59,3.766212,3.766476,0.0
