Timestamp,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29465,Gradient EXACT 29465,Temperature EXACT 29465,Usage EXACT 29464,Gradient EXACT 29464,Temperature EXACT 29464,Usage EXACT 29463,Gradient EXACT 29463,Temperature EXACT 29463,Weight (kg),w_smooth,consumption (kg)
2025-11-10 12:52:23,0.001048,,0.0,1,0.71,49.35,0,0.06,25.87,0,0.05,25.56,0.001278,,0.0
2025-11-10 12:54:23,2.226664,2.226664,0.0,1,0.71,49.93,0,0.06,25.77,0,0.01,25.46,0.001016,0.001278,0.0
2025-11-10 12:56:23,4.391428,4.391428,0.0,1,0.72,50.29,0,0.05,25.61,0,0.00,25.30,0.392542,0.392542,0.0
2025-11-10 12:58:23,4.392716,4.392716,0.0,1,0.71,50.37,0,0.02,25.56,0,0.01,25.46,4.975417,4.975417,0.0
2025-11-10 13:00:23,4.392716,4.392716,0.0,1,0.73,50.66,0,0.08,25.61,0,0.05,25.46,4.97728,4.97728,0.0
2025-11-10 13:02:23,4.395402,4.395402,0.0,1,0.80,51.47,0,0.02,25.51,0,0.02,25.36,4.97728,4.97728,0.0
2025-11-10 13:04:23,4.39567,4.395402,0.0,1,0.81,51.32,0,0.04,25.18,0,0.02,25.21,4.977197,4.97728,0.0
2025-11-10 13:06:23,4.395402,4.395402,0.0,1,0.81,51.63,0,0.01,24.89,0,0.03,25.10,4.97741,4.977304,0.0
2025-11-10 13:08:23,4.395356,4.395402,0.0,1,0.83,52.54,0,0.01,24.79,0,0.04,24.97,4.977304,4.977304,0.0
2025-11-10 13:10:23,4.395536,4.395536,0.0,1,0.84,53.39,0,0.10,24.74,0,0.00,24.84,4.977304,4.977304,0.0
2025-11-10 13:12:23,4.395536,4.395536,0.0,1,0.79,54.32,0,0.02,24.74,0,0.05,24.84,4.977382,4.977304,0.0
2025-11-10 13:14:23,4.396049,4.396049,0.0,1,0.79,54.81,0,0.01,24.74,0,0.02,24.76,4.976966,4.976966,0.0
2025-11-10 13:16:23,4.396049,4.396049,0.0,1,0.65,54.41,0,0.10,24.69,0,0.05,24.74,4.976895,4.976966,0.0
2025-11-10 13:18:23,4.396744,4.396744,0.0,1,0.61,53.54,0,0.10,24.63,0,0.00,24.64,4.976966,4.976966,0.0
2025-11-10 13:20:23,4.396968,4.396968,0.0,1,0.60,52.16,0,0.06,24.64,0,0.00,24.64,4.977027,4.977027,0.0
2025-11-10 13:22:23,4.397286,4.397286,0.0,1,0.65,51.10,0,0.10,24.73,0,0.00,24.64,4.977027,4.977027,0.0
2025-11-10 13:24:23,4.397751,4.397751,0.0,1,0.70,49.79,0,0.07,24.74,0,0.00,24.64,4.977163,4.977163,0.0
2025-11-10 13:26:23,4.397751,4.397751,0.0,1,0.70,48.85,0,0.03,24.74,0,0.00,24.64,4.977308,4.977308,0.0
2025-11-10 13:28:23,4.397751,4.39783,0.0,1,0.68,47.65,0,0.10,24.74,0,0.00,24.64,4.978007,4.978007,0.0
2025-11-10 13:30:23,4.398503,4.398503,0.0,1,0.68,47.24,0,0.07,24.74,0,0.00,24.64,4.978007,4.97769,0.0
2025-11-10 13:32:23,4.399533,4.399533,0.0,1,0.68,47.24,0,0.02,24.74,0,0.00,24.64,4.97769,4.97769,0.0
2025-11-10 13:34:23,4.399134,4.399134,0.0,1,0.73,47.49,0,0.10,24.84,0,0.00,24.64,4.978053,4.978053,0.0
