Timestamp,Usage EXACT 29269,Gradient EXACT 29269,Temperature EXACT 29269,Weight (kg),w_smooth,consumption (kg)
2025-11-22 16:24:12,0,0.01,29.60,0.002092,,0.0
2025-11-22 16:26:12,0,0.01,29.55,0.002502,0.002502,0.0
2025-11-22 16:28:12,0,-0.04,29.44,1.563402,1.563402,0.0
2025-11-22 16:30:12,0,-0.04,29.49,1.564654,1.564654,0.0
2025-11-22 16:32:12,0,0.00,29.55,2.829966,2.829966,0.0
2025-11-22 16:34:12,0,0.01,29.55,2.832571,2.832571,0.0
2025-11-22 16:36:12,0,0.01,29.55,3.353427,3.353427,0.0
2025-11-22 16:38:12,0,0.01,29.55,5.570085,5.570085,0.0
2025-11-22 16:40:12,0,0.01,29.55,5.570942,5.570942,0.0
2025-11-22 16:42:12,0,0.01,29.44,5.575271,5.575271,0.0
2025-11-22 16:44:12,0,0.01,29.81,5.575364,5.575271,0.0
2025-11-22 16:46:12,0,-0.01,30.38,5.575364,5.575364,0.0
2025-11-22 16:48:12,0,0.01,30.94,5.575956,5.575956,0.0
2025-11-22 16:50:12,0,0.00,31.48,5.576288,5.576288,0.0
2025-11-22 16:52:12,0,0.01,31.82,5.576369,5.576288,0.0
2025-11-22 16:54:12,0,-0.03,32.15,5.576194,5.576194,0.0
2025-11-22 16:56:12,0,-0.03,32.47,5.576194,5.576194,0.0
2025-11-22 16:58:12,0,0.01,32.69,5.575259,5.575259,0.0
2025-11-22 17:00:12,0,0.01,32.75,5.575259,5.575259,0.0
2025-11-22 17:02:12,0,0.01,32.81,5.575922,5.575259,0.0
2025-11-22 17:04:12,0,0.01,32.81,5.575135,5.575135,0.0
2025-11-22 17:06:12,0,0.00,32.80,5.575509,5.575509,0.0
2025-11-22 17:08:12,0,0.01,32.69,5.575509,5.575509,0.0
2025-11-22 17:10:12,0,0.01,32.69,5.574827,5.574827,0.0
2025-11-22 17:12:12,0,0.01,32.63,5.5739,5.5739,0.0
2025-11-22 17:14:12,0,-0.04,32.53,5.573626,5.573626,0.0
2025-11-22 17:16:12,0,0.01,32.47,5.573616,5.573616,0.0
2025-11-22 17:18:12,0,-0.04,32.41,5.573127,5.573127,0.0
2025-11-22 17:20:12,0,0.00,32.36,5.572262,5.572262,0.0
2025-11-22 17:22:12,0,0.01,32.36,5.571112,5.571112,0.0
2025-11-22 17:24:12,0,0.01,32.36,5.57055,5.57055,0.0
2025-11-22 17:26:12,0,-0.04,32.25,5.569835,5.569835,0.0
2025-11-22 17:28:12,0,0.01,32.25,5.569605,5.569605,0.0
2025-11-22 17:30:12,0,0.00,32.19,5.568461,5.568461,0.0
2025-11-22 17:32:12,0,0.01,32.14,5.568314,5.568314,0.0
