Timestamp,Usage EXACT 29565,Gradient EXACT 29565,Temperature EXACT 29565,Weight (kg),w_smooth,consumption (kg)
2025-11-10 16:23:48,0,0.00,25.30,0.700342,,0.0
2025-11-10 16:25:48,0,-0.04,25.20,0.722367,0.722367,0.0
2025-11-10 16:27:48,0,-0.00,25.15,0.723193,0.723193,0.0
2025-11-10 16:29:48,0,-0.00,25.15,0.723256,0.723256,0.0
2025-11-10 16:31:48,0,-0.05,25.05,0.723344,0.723344,0.0
2025-11-10 16:33:48,0,-0.00,25.05,0.723382,0.723382,0.0
2025-11-10 16:35:48,0,-0.04,25.00,0.723335,0.723335,0.0
2025-11-10 16:37:48,0,-0.03,24.94,0.723335,0.723335,0.0
2025-11-10 16:39:48,0,-0.00,24.94,0.723517,0.723517,0.0
2025-11-10 16:41:48,0,-0.00,24.94,0.7239,0.723523,0.0
2025-11-10 16:43:48,0,-0.00,24.94,0.723027,0.723027,0.0
2025-11-10 16:45:48,0,-0.01,24.93,0.401464,0.401464,0.321563
2025-11-10 16:47:48,0,-0.05,24.88,0.221442,0.221442,0.0
2025-11-10 16:49:48,0,-0.08,24.84,0.221144,0.221144,0.0
2025-11-10 16:51:48,0,-0.03,24.84,0.221065,0.221065,0.0
2025-11-10 16:53:48,0,-0.00,24.84,0.220619,0.220619,0.0
2025-11-10 16:55:48,0,-0.00,24.84,0.220619,0.220619,0.0
2025-11-10 16:57:48,0,-0.00,24.84,0.220619,0.220619,0.0
2025-11-10 16:59:48,0,-0.00,24.84,0.220619,0.220619,0.0
2025-11-10 17:01:48,0,-0.04,24.79,0.220191,0.220191,0.0
2025-11-10 17:03:48,0,-0.05,24.79,0.219236,0.219236,0.0
2025-11-10 17:05:48,0,-0.03,25.22,0.02243,0.02243,0.19680599999999998
2025-11-10 17:07:48,0,-0.00,25.66,0.02243,0.02243,0.0
2025-11-10 17:09:48,0,-0.09,25.97,0.021326,0.021326,0.0
2025-11-10 17:11:48,0,-0.01,26.70,0.020729,0.020729,0.0
2025-11-10 17:13:48,0,-0.00,27.74,0.020663,0.020519,0.0
2025-11-10 17:15:48,0,0.01,29.39,0.020519,0.020519,0.0
